id,price
0,52080.5314799
1,37624.2688239
2,70029.7641527
3,17052.6685968
4,92918.9874806
5,65300.1436398
6,94771.9714304
7,35629.5788408
8,90164.1202181
9,39940.6652104
10,94007.7046371
11,57370.277112
12,92035.2912742
13,72901.0025063
14,48160.8142881
15,80905.5041683
16,97227.0503377
17,42560.3111029
18,23938.6177262
19,16011.0516599
20,81575.9353445
21,94809.1339116
22,46632.5682446
23,66360.6759443
24,41888.6269829
25,21260.9670502
26,19431.6691793
27,10136.1370706
28,93370.1994564
29,78658.1319142
30,42873.7863375
31,83049.2073911
32,85030.7869568
33,28961.115053
34,76947.1136153
35,3578.30347035
36,73159.9721307
37,98085.881591
38,28445.25563
39,71181.6062886
40,96751.589192
41,21663.4931028
42,50639.3112702
43,16146.2727986
44,81866.4863369
45,3971.75295035
46,20987.4525562
47,40098.6378706
48,22519.5120645
49,1974.3039915
50,16823.3549863
51,34674.8228669
52,96888.1432186
53,94275.4508943
54,37233.7930005
55,31454.7210712
56,72556.8463066
57,72513.3225018
58,18162.7802291
59,19118.3438087
60,94156.0351168
61,48498.6659451
62,98197.6222688
63,36529.1946165
64,54414.6937685
65,38341.3311553
66,92878.9341038
67,43914.9739829
68,69620.8620987
69,71658.2679249
70,39397.5733303
71,29987.6667608
72,88723.7792822
73,86623.6083266
74,16612.273724
75,35554.4843684
76,76358.6915666
77,53930.8273679
78,15218.9869317
79,54806.7956841
80,10569.2669327
81,31359.5615316
82,61613.1207888
83,42831.2419863
84,70919.8052321
85,77956.9110805
86,56767.1008529
87,30257.7888608
88,51056.4385557
89,59655.0736888
90,59069.050897
91,31343.5944161
92,35028.6621014
93,19077.2040774
94,30756.573119
95,73616.9489793
96,5385.14129652
97,71416.1405398
98,44467.4522564
99,31299.408278
100,34346.7287426
101,29728.9529838
102,54779.6071249
103,86104.3098773
104,24426.5730707
105,64956.0300412
106,87186.3777405
107,10349.4511453
108,72999.3452627
109,18511.6637899
110,47563.0449769
111,48579.2675527
112,43089.1794132
113,35492.3862759
114,42519.5849542
115,31463.3657522
116,31701.9964207
117,14796.8783447
118,15283.1144612
119,88324.1460121
120,42346.8591614
121,24748.8094388
122,1477.94698392
123,65374.8706467
124,91290.8223851
125,79131.8639836
126,94044.2871116
127,94139.8733031
128,56316.4301861
129,76021.1399013
130,52057.0208824
131,29536.1488967
